loss,mae,mse,val_loss,val_mae,val_mse,lr
0.027630900964140892,0.11796442419290543,0.027630900964140892,0.023713400587439537,0.14492712914943695,0.023713400587439537,0.001
0.0037189952563494444,0.04724960774183273,0.0037189952563494444,0.0035664041060954332,0.05198047682642937,0.0035664041060954332,0.001
0.002514792839065194,0.0391211099922657,0.002514792839065194,0.006093606818467379,0.07039035111665726,0.006093606818467379,0.001
0.00240544811822474,0.03807813301682472,0.00240544811822474,0.004006211180239916,0.055274661630392075,0.0040062107145786285,0.001
0.0021798487287014723,0.036469072103500366,0.0021798487287014723,0.002046192530542612,0.03769155591726303,0.002046192530542612,0.001
0.0020629502832889557,0.03573966398835182,0.0020629502832889557,0.005200485698878765,0.06471757590770721,0.005200485698878765,0.001
0.001733038225211203,0.03210100159049034,0.001733038225211203,0.010222774930298328,0.09551222622394562,0.010222774930298328,0.001
0.0018438599072396755,0.03333745524287224,0.0018438599072396755,0.003089346457272768,0.048017773777246475,0.003089346457272768,0.001
0.0015329293673858047,0.030855728313326836,0.0015329293673858047,0.006400138605386019,0.07388117909431458,0.006400138605386019,0.001
0.0015308375004678965,0.030897770076990128,0.0015308375004678965,0.005011007189750671,0.06440939009189606,0.005011007189750671,0.001
0.0015087365172803402,0.030595771968364716,0.0015087365172803402,0.00575049314647913,0.06993397325277328,0.00575049314647913,0.0005
0.0013667552266269922,0.02813776023685932,0.0013667552266269922,0.0042217993177473545,0.05853196978569031,0.0042217993177473545,0.0005
0.0012943188194185495,0.027382032945752144,0.0012943188194185495,0.0052244518883526325,0.06630070507526398,0.0052244518883526325,0.0005
0.0013870247639715672,0.02854175493121147,0.0013870247639715672,0.003743479959666729,0.05487111955881119,0.003743479959666729,0.0005
0.001253412920050323,0.027626609429717064,0.001253412920050323,0.004168213810771704,0.058651696890592575,0.004168213810771704,0.0005
0.0012289144797250628,0.02743677608668804,0.0012289144797250628,0.0020391400903463364,0.03829530254006386,0.0020391400903463364,0.00025
0.0011676284484565258,0.026485919952392578,0.0011676284484565258,0.004825506825000048,0.06392400711774826,0.004825506825000048,0.00025
0.0011933505302295089,0.026657400652766228,0.0011933505302295089,0.00236623827368021,0.041902776807546616,0.00236623827368021,0.00025
0.0010436431039124727,0.025039970874786377,0.001043642987497151,0.0035683629103004932,0.05378163978457451,0.0035683629103004932,0.00025
0.001092275488190353,0.02562355063855648,0.001092275488190353,0.003426196286454797,0.05245370790362358,0.003426196286454797,0.00025
0.001104711671359837,0.0258344579488039,0.001104711671359837,0.00422773277387023,0.05960097536444664,0.00422773277387023,0.000125
0.001038393471390009,0.025033950805664062,0.001038393471390009,0.002456647576764226,0.04322474077343941,0.002456647576764226,0.000125
0.0010346440831199288,0.02493675984442234,0.0010346440831199288,0.0033637939486652613,0.05199055373668671,0.0033637939486652613,0.000125
0.0010827974183484912,0.025321349501609802,0.0010827974183484912,0.0021219588816165924,0.039394304156303406,0.0021219588816165924,0.000125
0.0010664209257811308,0.024762937799096107,0.0010664209257811308,0.004080664832144976,0.05861427262425423,0.004080664832144976,0.000125
0.0009736971696838737,0.02442396618425846,0.0009736971696838737,0.004024446941912174,0.05816175416111946,0.004024446941912174,6.25e-05
0.0010699686827138066,0.025498386472463608,0.0010699686827138066,0.003359270980581641,0.052221525460481644,0.003359270980581641,6.25e-05
0.0010160545352846384,0.024847814813256264,0.0010160545352846384,0.0028421273455023766,0.0475153848528862,0.0028421273455023766,6.25e-05
0.0011004131520166993,0.025881119072437286,0.0011004131520166993,0.0036953557282686234,0.05539073422551155,0.0036953557282686234,6.25e-05
0.0010335065890103579,0.02487259730696678,0.0010335065890103579,0.0028679235838353634,0.047746215015649796,0.0028679235838353634,6.25e-05
0.0010342053137719631,0.024686237797141075,0.0010342053137719631,0.003828994231298566,0.05658543482422829,0.003828994231298566,3.125e-05
